facility_id,reporting_quarter,facility_name,district,province,tier_level,gps_lat,gps_lon,nicu_available,nicu_beds,incubators_functional,incubators_total,radiant_warmers,phototherapy_units,cpap_machines,resuscitation_tables,kangaroo_care_space,electricity_reliable,backup_generator,newborn_protocol_exists,protocol_last_updated,death_audits_conducted_pct,staff_trained_on_protocol_pct,quality_improvement_active,supervision_visits_quarterly,hmis_reporting_completeness,bag_mask_ventilation_competency,thermal_care_protocol_compliance,infection_prevention_score,total_nurses,neonatal_trained_nurses,midwives,obstetricians,pediatricians,neonatologists,anesthetists,last_neonatal_training_date,staff_per_delivery_2024,night_shift_coverage,avg_referral_time_hrs,referrals_out_monthly,referrals_in_monthly,oxygen_cylinders_available,oxygen_concentrators,oxygen_plant,ambulance_available,kangaroo_care_practiced,essential_drugs_stockouts_days,antibiotics_available,surfactant_available,referral_feedback_rate,total_deliveries,live_births,neonatal_deaths_0_7d,neonatal_deaths_8_28d,stillbirths,death_birth_asphyxia,death_prematurity,death_sepsis,death_congenital,death_other,preterm_births_28_32w,preterm_births_32_37w,apgar_less_7_at_5min,birth_weight_less_2500g,avg_gestational_age
NYA003,2024Q3,Nyarugenge Health Center 2,Nyarugenge,Kigali City,Provincial,-2.5888,30.2792,Partial,0,5,9,6,5,2,2,Yes,No,Yes,Yes,2024-01-01,74,54,Yes,2,92,63,44,66,43,4,17,3,3,0,1,2023-08-01,0.02,Partial,2.9,26,21,14,2,Yes,Yes,No,5,Usually,No,53,787,770,13,8,17,4,5,4,0,8,22,91,48,136,37.26666666666667
NYA003,2024Q4,Nyarugenge Health Center 2,Nyarugenge,Kigali City,Provincial,-2.5888,30.2792,Partial,0,5,9,6,5,2,2,Yes,No,Yes,Yes,2024-01-01,74,54,Yes,2,92,63,44,66,43,4,17,3,3,0,1,2023-08-01,0.02,Partial,2.9,26,21,14,2,Yes,Yes,No,5,Usually,No,53,577,567,15,6,10,6,6,4,1,4,24,62,33,68,37.7
NYA004,2024Q1,Nyarugenge Health Center 3,Nyarugenge,Kigali City,Referral,-2.8699,29.2867,Yes,19,13,14,8,10,5,5,No,Yes,Yes,No,,93,87,Yes,3,96,96,76,83,102,16,34,9,7,3,5,2025-04-01,0.03,Full,0.6,4,84,20,11,Yes,Yes,Yes,1,Always,Yes,91,2000,1944,20,7,56,7,5,4,0,11,61,243,75,313,36.95
NYA004,2024Q2,Nyarugenge Health Center 3,Nyarugenge,Kigali City,Referral,-2.8699,29.2867,Yes,19,13,14,8,10,5,5,No,Yes,Yes,No,,93,87,Yes,3,96,96,76,83,102,16,34,9,7,3,5,2025-04-01,0.03,Full,0.6,4,84,20,11,Yes,Yes,Yes,1,Always,Yes,91,1513,1468,13,8,45,5,5,3,1,7,52,153,70,244,37.43333333333333
NYA004,2024Q3,Nyarugenge Health Center 3,Nyarugenge,Kigali City,Referral,-2.8699,29.2867,Yes,19,13,14,8,10,5,5,No,Yes,Yes,No,,93,87,Yes,3,96,96,76,83,102,16,34,9,7,3,5,2025-04-01,0.03,Full,0.6,4,84,20,11,Yes,Yes,Yes,1,Always,Yes,91,1505,1460,17,6,45,6,6,4,1,6,47,162,82,164,37.233333333333334
NYA004,2024Q4,Nyarugenge Health Center 3,Nyarugenge,Kigali City,Referral,-2.8699,29.2867,Yes,19,13,14,8,10,5,5,No,Yes,Yes,No,,93,87,Yes,3,96,96,76,83,102,16,34,9,7,3,5,2025-04-01,0.03,Full,0.6,4,84,20,11,Yes,Yes,Yes,1,Always,Yes,91,1007,987,13,4,20,4,4,3,1,5,33,137,60,147,37.8
NYA005,2024Q1,Nyarugenge Health Center 4,Nyarugenge,Kigali City,Health Center,-1.5397,29.6363,No,0,1,1,1,1,0,2,Partial,Yes,Yes,Outdated,2022-06-01,19,22,No,1,72,17,17,53,27,2,5,2,0,0,0,2023-01-01,0.01,,2.3,15,4,3,0,No,No,No,35,Rarely,No,23,347,337,15,6,10,6,4,2,0,9,9,36,24,46,37.675
NYA005,2024Q2,Nyarugenge Health Center 4,Nyarugenge,Kigali City,Health Center,-1.5397,29.6363,No,0,1,1,1,1,0,2,Partial,Yes,Yes,Outdated,2022-06-01,19,22,No,1,72,17,17,53,27,2,5,2,0,0,0,2023-01-01,0.01,,2.3,15,4,3,0,No,No,No,35,Rarely,No,23,240,233,10,4,7,4,4,1,0,5,6,25,10,36,37.833333333333336
NYA005,2024Q3,Nyarugenge Health Center 4,Nyarugenge,Kigali City,Health Center,-1.5397,29.6363,No,0,1,1,1,1,0,2,Partial,Yes,Yes,Outdated,2022-06-01,19,22,No,1,72,17,17,53,27,2,5,2,0,0,0,2023-01-01,0.01,,2.3,15,4,3,0,No,No,No,35,Rarely,No,23,206,199,11,3,7,4,3,2,0,5,6,20,10,25,38.199999999999996
NYA005,2024Q4,Nyarugenge Health Center 4,Nyarugenge,Kigali City,Health Center,-1.5397,29.6363,No,0,1,1,1,1,0,2,Partial,Yes,Yes,Outdated,2022-06-01,19,22,No,1,72,17,17,53,27,2,5,2,0,0,0,2023-01-01,0.01,,2.3,15,4,3,0,No,No,No,35,Rarely,No,23,176,170,7,3,6,1,1,2,0,6,5,18,6,18,37.45
GAS006,2024Q1,Gasabo Hospital,Gasabo,Kigali City,District,-2.7784,29.8364,No,0,3,3,1,0,0,1,No,Yes,No,Outdated,2022-08-01,49,14,No,1,62,15,38,51,23,1,6,0,0,0,0,2022-10-01,0.02,,1.5,28,12,2,1,No,No,No,35,Rarely,No,24,542,524,24,9,18,9,8,6,1,9,17,58,21,84,37.8
GAS006,2024Q2,Gasabo Hospital,Gasabo,Kigali City,District,-2.7784,29.8364,No,0,3,3,1,0,0,1,No,Yes,No,Outdated,2022-08-01,49,14,No,1,62,15,38,51,23,1,6,0,0,0,0,2022-10-01,0.02,,1.5,28,12,2,1,No,No,No,35,Rarely,No,24,471,456,21,11,15,9,7,6,2,8,13,44,22,63,37.0
GAS006,2024Q3,Gasabo Hospital,Gasabo,Kigali City,District,-2.7784,29.8364,No,0,3,3,1,0,0,1,No,Yes,No,Outdated,2022-08-01,49,14,No,1,62,15,38,51,23,1,6,0,0,0,0,2022-10-01,0.02,,1.5,28,12,2,1,No,No,No,35,Rarely,No,24,427,415,21,8,12,8,7,5,0,9,15,49,16,52,37.46666666666667
GAS006,2024Q4,Gasabo Hospital,Gasabo,Kigali City,District,-2.7784,29.8364,No,0,3,3,1,0,0,1,No,Yes,No,Outdated,2022-08-01,49,14,No,1,62,15,38,51,23,1,6,0,0,0,0,2022-10-01,0.02,,1.5,28,12,2,1,No,No,No,35,Rarely,No,24,268,263,16,6,5,6,6,3,0,7,9,26,17,31,38.4
GAS007,2024Q1,Gasabo Health Center 1,Gasabo,Kigali City,Provincial,-1.619,29.6125,Partial,0,4,4,3,4,3,2,Yes,No,No,No,,72,58,Yes,3,83,59,43,75,41,5,12,3,1,0,1,,0.02,Partial,3.2,25,40,9,4,No,No,No,15,Usually,No,68,1233,1213,32,12,20,11,11,10,1,11,36,137,61,188,37.375
GAS007,2024Q2,Gasabo Health Center 1,Gasabo,Kigali City,Provincial,-1.619,29.6125,Partial,0,4,4,3,4,3,2,Yes,No,No,No,,72,58,Yes,3,83,59,43,75,41,5,12,3,1,0,1,,0.02,Partial,3.2,25,40,9,4,No,No,No,15,Usually,No,68,750,731,15,6,19,5,5,4,0,7,26,80,24,123,37.666666666666664
GAS007,2024Q3,Gasabo Health Center 1,Gasabo,Kigali City,Provincial,-1.619,29.6125,Partial,0,4,4,3,4,3,2,Yes,No,No,No,,72,58,Yes,3,83,59,43,75,41,5,12,3,1,0,1,,0.02,Partial,3.2,25,40,9,4,No,No,No,15,Usually,No,68,898,871,23,8,27,7,7,6,2,9,29,100,59,111,38.03333333333333
GAS007,2024Q4,Gasabo Health Center 1,Gasabo,Kigali City,Provincial,-1.619,29.6125,Partial,0,4,4,3,4,3,2,Yes,No,No,No,,72,58,Yes,3,83,59,43,75,41,5,12,3,1,0,1,,0.02,Partial,3.2,25,40,9,4,No,No,No,15,Usually,No,68,599,581,11,6,18,3,4,3,1,6,17,75,25,91,38.1
GAS008,2024Q1,Gasabo Health Center 2,Gasabo,Kigali City,Health Center,-1.6306,30.4508,No,0,2,3,3,2,0,1,Yes,No,Yes,Yes,2025-10-01,12,7,No,1,52,41,30,30,27,0,9,0,0,0,1,,0.01,,2.8,22,2,4,1,No,Yes,No,19,Rarely,No,28,312,302,12,3,10,2,3,2,0,8,11,31,19,41,37.475
GAS008,2024Q2,Gasabo Health Center 2,Gasabo,Kigali City,Health Center,-1.6306,30.4508,No,0,2,3,3,2,0,1,Yes,No,Yes,Yes,2025-10-01,12,7,No,1,52,41,30,30,27,0,9,0,0,0,1,,0.01,,2.8,22,2,4,1,No,Yes,No,19,Rarely,No,28,265,260,14,4,5,3,4,2,0,9,7,28,14,42,37.63333333333333
GAS008,2024Q3,Gasabo Health Center 2,Gasabo,Kigali City,Health Center,-1.6306,30.4508,No,0,2,3,3,2,0,1,Yes,No,Yes,Yes,2025-10-01,12,7,No,1,52,41,30,30,27,0,9,0,0,0,1,,0.01,,2.8,22,2,4,1,No,Yes,No,19,Rarely,No,28,304,295,14,5,9,5,4,4,0,6,9,29,13,46,37.26666666666667
GAS008,2024Q4,Gasabo Health Center 2,Gasabo,Kigali City,Health Center,-1.6306,30.4508,No,0,2,3,3,2,0,1,Yes,No,Yes,Yes,2025-10-01,12,7,No,1,52,41,30,30,27,0,9,0,0,0,1,,0.01,,2.8,22,2,4,1,No,Yes,No,19,Rarely,No,28,197,191,7,4,6,2,2,2,0,5,6,16,11,33,37.8
GAS009,2024Q1,Gasabo Health Center 3,Gasabo,Kigali City,Health Center,-1.0537,30.5612,No,0,0,0,3,0,0,1,No,No,Yes,Yes,2025-09-01,34,27,No,0,75,13,19,37,15,1,12,2,1,0,1,2024-09-01,0.01,,2.2,25,2,6,2,No,No,No,27,Sometimes,No,34,333,324,13,6,9,3,2,2,0,12,11,42,19,55,37.8
GAS009,2024Q2,Gasabo Health Center 3,Gasabo,Kigali City,Health Center,-1.0537,30.5612,No,0,0,0,3,0,0,1,No,No,Yes,Yes,2025-09-01,34,27,No,0,75,13,19,37,15,1,12,2,1,0,1,2024-09-01,0.01,,2.2,25,2,6,2,No,No,No,27,Sometimes,No,34,233,226,8,3,7,1,1,1,0,8,7,27,10,29,37.5
GAS009,2024Q3,Gasabo Health Center 3,Gasabo,Kigali City,Health Center,-1.0537,30.5612,No,0,0,0,3,0,0,1,No,No,Yes,Yes,2025-09-01,34,27,No,0,75,13,19,37,15,1,12,2,1,0,1,2024-09-01,0.01,,2.2,25,2,6,2,No,No,No,27,Sometimes,No,34,236,227,11,3,9,2,3,2,0,7,5,22,14,36,37.26666666666667
GAS009,2024Q4,Gasabo Health Center 3,Gasabo,Kigali City,Health Center,-1.0537,30.5612,No,0,0,0,3,0,0,1,No,No,Yes,Yes,2025-09-01,34,27,No,0,75,13,19,37,15,1,12,2,1,0,1,2024-09-01,0.01,,2.2,25,2,6,2,No,No,No,27,Sometimes,No,34,178,174,9,3,4,3,3,3,0,3,4,16,9,31,37.650000000000006
KIC010,2024Q1,Kicukiro Hospital,Kicukiro,Kigali City,Provincial,-2.675,30.0842,No,0,8,10,5,2,1,3,Yes,Yes,Yes,Yes,2025-09-01,59,66,Yes,3,84,66,44,63,56,2,14,3,3,0,1,2024-08-01,0.03,Partial,2.8,34,22,10,5,Yes,No,Partial,9,Sometimes,No,67,1064,1037,25,12,27,9,8,7,0,13,30,127,50,158,37.15
KIC010,2024Q2,Kicukiro Hospital,Kicukiro,Kigali City,Provincial,-2.675,30.0842,No,0,8,10,5,2,1,3,Yes,Yes,Yes,Yes,2025-09-01,59,66,Yes,3,84,66,44,63,56,2,14,3,3,0,1,2024-08-01,0.03,Partial,2.8,34,22,10,5,Yes,No,Partial,9,Sometimes,No,67,899,884,26,10,15,10,9,8,3,6,26,114,47,157,37.833333333333336
KIC010,2024Q3,Kicukiro Hospital,Kicukiro,Kigali City,Provincial,-2.675,30.0842,No,0,8,10,5,2,1,3,Yes,Yes,Yes,Yes,2025-09-01,59,66,Yes,3,84,66,44,63,56,2,14,3,3,0,1,2024-08-01,0.03,Partial,2.8,34,22,10,5,Yes,No,Partial,9,Sometimes,No,67,816,791,13,7,25,4,4,4,1,7,35,99,41,103,37.5
KIC010,2024Q4,Kicukiro Hospital,Kicukiro,Kigali City,Provincial,-2.675,30.0842,No,0,8,10,5,2,1,3,Yes,Yes,Yes,Yes,2025-09-01,59,66,Yes,3,84,66,44,63,56,2,14,3,3,0,1,2024-08-01,0.03,Partial,2.8,34,22,10,5,Yes,No,Partial,9,Sometimes,No,67,570,551,15,3,19,4,5,3,1,5,18,51,32,86,37.25
KIC011,2024Q1,Kicukiro Health Center 1,Kicukiro,Kigali City,District,-2.1372,29.9779,No,0,2,4,2,2,0,2,Partial,No,Yes,Yes,2024-03-01,30,40,No,1,57,37,9,35,21,2,12,2,0,0,0,,0.01,Partial,1.2,30,3,1,1,No,No,No,31,Sometimes,No,26,540,522,24,8,18,7,8,6,0,11,18,54,24,74,37.25
KIC011,2024Q2,Kicukiro Health Center 1,Kicukiro,Kigali City,District,-2.1372,29.9779,No,0,2,4,2,2,0,2,Partial,No,Yes,Yes,2024-03-01,30,40,No,1,57,37,9,35,21,2,12,2,0,0,0,,0.01,Partial,1.2,30,3,1,1,No,No,No,31,Sometimes,No,26,450,436,19,9,14,7,7,6,1,7,11,47,19,68,37.699999999999996
KIC011,2024Q3,Kicukiro Health Center 1,Kicukiro,Kigali City,District,-2.1372,29.9779,No,0,2,4,2,2,0,2,Partial,No,Yes,Yes,2024-03-01,30,40,No,1,57,37,9,35,21,2,12,2,0,0,0,,0.01,Partial,1.2,30,3,1,1,No,No,No,31,Sometimes,No,26,477,459,29,11,18,12,11,8,3,6,15,45,18,65,38.1
KIC011,2024Q4,Kicukiro Health Center 1,Kicukiro,Kigali City,District,-2.1372,29.9779,No,0,2,4,2,2,0,2,Partial,No,Yes,Yes,2024-03-01,30,40,No,1,57,37,9,35,21,2,12,2,0,0,0,,0.01,Partial,1.2,30,3,1,1,No,No,No,31,Sometimes,No,26,265,260,14,5,5,5,4,4,0,6,5,30,12,28,37.25
KIC012,2024Q1,Kicukiro Health Center 2,Kicukiro,Kigali City,Referral,-1.5117,30.7011,Yes,25,14,19,10,7,4,5,No,Yes,Yes,Yes,2024-04-01,96,88,Yes,3,99,86,80,88,90,12,21,10,8,2,4,2025-10-01,0.02,Full,0.7,7,77,24,12,Yes,Yes,Yes,4,Always,No,91,1934,1883,19,5,51,4,4,4,0,12,53,202,121,275,37.375
KIC012,2024Q2,Kicukiro Health Center 2,Kicukiro,Kigali City,Referral,-1.5117,30.7011,Yes,25,14,19,10,7,4,5,No,Yes,Yes,Yes,2024-04-01,96,88,Yes,3,99,86,80,88,90,12,21,10,8,2,4,2025-10-01,0.02,Full,0.7,7,77,24,12,Yes,Yes,Yes,4,Always,No,91,1744,1710,17,8,34,7,6,5,1,6,62,190,107,246,37.9
KIC012,2024Q3,Kicukiro Health Center 2,Kicukiro,Kigali City,Referral,-1.5117,30.7011,Yes,25,14,19,10,7,4,5,No,Yes,Yes,Yes,2024-04-01,96,88,Yes,3,99,86,80,88,90,12,21,10,8,2,4,2025-10-01,0.02,Full,0.7,7,77,24,12,Yes,Yes,Yes,4,Always,No,91,1217,1183,13,5,34,3,4,4,0,7,38,123,52,157,37.300000000000004
KIC012,2024Q4,Kicukiro Health Center 2,Kicukiro,Kigali City,Referral,-1.5117,30.7011,Yes,25,14,19,10,7,4,5,No,Yes,Yes,Yes,2024-04-01,96,88,Yes,3,99,86,80,88,90,12,21,10,8,2,4,2025-10-01,0.02,Full,0.7,7,77,24,12,Yes,Yes,Yes,4,Always,No,91,1009,987,11,3,22,3,3,3,0,5,38,113,69,147,37.2
KIC013,2024Q1,Kicukiro Health Center 3,Kicukiro,Kigali City,Health Center,-2.5759,30.1786,No,0,2,2,1,2,0,2,No,No,Yes,Yes,2025-01-01,35,12,No,1,53,32,9,41,20,1,8,2,0,0,0,2022-01-01,0.02,,1.3,25,2,2,2,No,Yes,No,31,Sometimes,No,24,399,390,16,6,9,6,4,3,0,9,11,47,17,64,37.075
KIC013,2024Q2,Kicukiro Health Center 3,Kicukiro,Kigali City,Health Center,-2.5759,30.1786,No,0,2,2,1,2,0,2,No,No,Yes,Yes,2025-01-01,35,12,No,1,53,32,9,41,20,1,8,2,0,0,0,2022-01-01,0.02,,1.3,25,2,2,2,No,Yes,No,31,Sometimes,No,24,235,229,9,4,6,2,2,2,0,7,8,23,8,28,37.833333333333336
KIC013,2024Q3,Kicukiro Health Center 3,Kicukiro,Kigali City,Health Center,-2.5759,30.1786,No,0,2,2,1,2,0,2,No,No,Yes,Yes,2025-01-01,35,12,No,1,53,32,9,41,20,1,8,2,0,0,0,2022-01-01,0.02,,1.3,25,2,2,2,No,Yes,No,31,Sometimes,No,24,186,180,8,2,6,1,1,1,0,7,4,17,8,28,37.666666666666664
KIC013,2024Q4,Kicukiro Health Center 3,Kicukiro,Kigali City,Health Center,-2.5759,30.1786,No,0,2,2,1,2,0,2,No,No,Yes,Yes,2025-01-01,35,12,No,1,53,32,9,41,20,1,8,2,0,0,0,2022-01-01,0.02,,1.3,25,2,2,2,No,Yes,No,31,Sometimes,No,24,165,159,8,2,6,1,2,1,0,6,3,16,5,23,38.0
HUY014,2024Q1,Huye Hospital,Huye,Southern,District,-2.4911,29.3371,No,0,2,4,2,0,0,1,Partial,Yes,Yes,Yes,2024-11-01,18,26,No,0,79,20,36,52,31,1,7,0,1,0,0,,0.01,,1.3,26,9,5,1,No,No,No,23,Rarely,No,36,631,608,30,12,23,10,10,8,2,12,15,69,28,97,38.125
HUY014,2024Q2,Huye Hospital,Huye,Southern,District,-2.4911,29.3371,No,0,2,4,2,0,0,1,Partial,Yes,Yes,Yes,2024-11-01,18,26,No,0,79,20,36,52,31,1,7,0,1,0,0,,0.01,,1.3,26,9,5,1,No,No,No,23,Rarely,No,36,451,437,23,8,14,8,8,6,2,7,13,52,24,52,37.63333333333333
HUY014,2024Q3,Huye Hospital,Huye,Southern,District,-2.4911,29.3371,No,0,2,4,2,0,0,1,Partial,Yes,Yes,Yes,2024-11-01,18,26,No,0,79,20,36,52,31,1,7,0,1,0,0,,0.01,,1.3,26,9,5,1,No,No,No,23,Rarely,No,36,469,453,26,10,16,11,9,6,3,7,17,59,23,80,37.3
HUY014,2024Q4,Huye Hospital,Huye,Southern,District,-2.4911,29.3371,No,0,2,4,2,0,0,1,Partial,Yes,Yes,Yes,2024-11-01,18,26,No,0,79,20,36,52,31,1,7,0,1,0,0,,0.01,,1.3,26,9,5,1,No,No,No,23,Rarely,No,36,332,325,13,6,7,5,4,4,1,5,10,46,15,62,37.7
HUY015,2024Q1,Huye Health Center 1,Huye,Southern,Provincial,-1.2102,29.0095,Yes,8,4,7,4,3,0,2,Partial,No,No,Yes,2023-12-01,54,40,No,3,77,54,47,60,53,6,20,5,2,0,2,2025-01-01,0.02,Partial,3.5,34,29,10,4,No,No,Yes,10,Usually,No,62,1197,1162,27,10,35,10,9,6,2,10,43,122,49,156,38.0
HUY015,2024Q2,Huye Health Center 1,Huye,Southern,Provincial,-1.2102,29.0095,Yes,8,4,7,4,3,0,2,Partial,No,No,Yes,2023-12-01,54,40,No,3,77,54,47,60,53,6,20,5,2,0,2,2025-01-01,0.02,Partial,3.5,34,29,10,4,No,No,Yes,10,Usually,No,62,782,765,15,8,17,6,6,3,0,8,27,87,43,115,37.03333333333333
HUY015,2024Q3,Huye Health Center 1,Huye,Southern,Provincial,-1.2102,29.0095,Yes,8,4,7,4,3,0,2,Partial,No,No,Yes,2023-12-01,54,40,No,3,77,54,47,60,53,6,20,5,2,0,2,2025-01-01,0.02,Partial,3.5,34,29,10,4,No,No,Yes,10,Usually,No,62,919,894,21,9,25,6,8,5,2,9,21,86,49,160,36.93333333333333
HUY015,2024Q4,Huye Health Center 1,Huye,Southern,Provincial,-1.2102,29.0095,Yes,8,4,7,4,3,0,2,Partial,No,No,Yes,2023-12-01,54,40,No,3,77,54,47,60,53,6,20,5,2,0,2,2025-01-01,0.02,Partial,3.5,34,29,10,4,No,No,Yes,10,Usually,No,62,469,456,9,5,13,3,3,3,0,5,17,61,32,69,38.349999999999994
HUY016,2024Q1,Huye Health Center 2,Huye,Southern,District,-1.3241,29.5993,No,0,3,3,3,0,0,1,Yes,No,Yes,Yes,2024-05-01,42,11,No,2,79,21,26,54,34,1,6,1,1,0,1,,0.02,Partial,3.1,19,5,1,0,No,No,Partial,13,Sometimes,No,29,656,643,24,13,13,9,9,7,2,10,22,71,30,101,37.625
HUY016,2024Q2,Huye Health Center 2,Huye,Southern,District,-1.3241,29.5993,No,0,3,3,3,0,0,1,Yes,No,Yes,Yes,2024-05-01,42,11,No,2,79,21,26,54,34,1,6,1,1,0,1,,0.02,Partial,3.1,19,5,1,0,No,No,Partial,13,Sometimes,No,29,465,451,25,6,14,8,7,6,2,8,19,54,23,59,36.93333333333334
HUY016,2024Q3,Huye Health Center 2,Huye,Southern,District,-1.3241,29.5993,No,0,3,3,3,0,0,1,Yes,No,Yes,Yes,2024-05-01,42,11,No,2,79,21,26,54,34,1,6,1,1,0,1,,0.02,Partial,3.1,19,5,1,0,No,No,Partial,13,Sometimes,No,29,514,500,26,9,14,8,10,8,0,9,18,61,23,72,37.56666666666667
HUY016,2024Q4,Huye Health Center 2,Huye,Southern,District,-1.3241,29.5993,No,0,3,3,3,0,0,1,Yes,No,Yes,Yes,2024-05-01,42,11,No,2,79,21,26,54,34,1,6,1,1,0,1,,0.02,Partial,3.1,19,5,1,0,No,No,Partial,13,Sometimes,No,29,270,262,14,5,8,4,4,4,2,5,8,24,13,39,37.3
NYA017,2024Q1,Nyanza Hospital,Nyanza,Southern,Health Center,-2.7609,29.5478,No,0,1,2,2,2,0,2,Partial,No,Yes,Yes,2025-09-01,35,15,No,2,51,31,24,47,30,2,7,2,0,0,0,2023-03-01,0.01,,1.3,28,14,3,0,No,No,Partial,24,Rarely,No,23,314,302,17,6,12,5,5,4,1,8,9,33,11,45,37.325
NYA017,2024Q2,Nyanza Hospital,Nyanza,Southern,Health Center,-2.7609,29.5478,No,0,1,2,2,2,0,2,Partial,No,Yes,Yes,2025-09-01,35,15,No,2,51,31,24,47,30,2,7,2,0,0,0,2023-03-01,0.01,,1.3,28,14,3,0,No,No,Partial,24,Rarely,No,23,213,208,10,3,5,3,3,2,0,5,5,21,12,30,37.6
